state,district,classification,pressure_tier,recommended_action,rationale
Delhi,Central Delhi,Migration Impact Zone,Stable,Deploy mobile enrollment vans,High adult correction load + volatility indicates migrant churn.
Delhi,East Delhi,Migration Impact Zone,Stable,Deploy mobile enrollment vans,High adult correction load + volatility indicates migrant churn.
Delhi,Najafgarh,Migration Impact Zone,Stable,Increase biometric operators,Biometric heavy load requires specialized operators.
Delhi,New Delhi,Migration Impact Zone,Stable,Deploy mobile enrollment vans,High adult correction load + volatility indicates migrant churn.
Delhi,North Delhi,Migration Impact Zone,Stable,Deploy mobile enrollment vans,High adult correction load + volatility indicates migrant churn.
Delhi,North East,Migration Impact Zone,Stable,Increase biometric operators,Biometric heavy load requires specialized operators.
Delhi,North East Delhi,Migration Impact Zone,Stable,Deploy mobile enrollment vans,High adult correction load + volatility indicates migrant churn.
Delhi,North West Delhi,Migration Impact Zone,Moderate Stress,Deploy mobile enrollment vans,High adult correction load + volatility indicates migrant churn.
Delhi,Shahdara,Population Expansion Zone,Stable,Deploy mobile enrollment vans,High adult correction load + volatility indicates migrant churn.
Delhi,South Delhi,Migration Impact Zone,Stable,Deploy mobile enrollment vans,High adult correction load + volatility indicates migrant churn.
Delhi,South East Delhi,Population Expansion Zone,Stable,Deploy mobile enrollment vans,High adult correction load + volatility indicates migrant churn.
Delhi,South West Delhi,Migration Impact Zone,Stable,Deploy mobile enrollment vans,High adult correction load + volatility indicates migrant churn.
Delhi,West Delhi,Migration Impact Zone,Stable,Deploy mobile enrollment vans,High adult correction load + volatility indicates migrant churn.
Maharashtra,Ahilyanagar,Population Expansion Zone,Stable,Deploy mobile enrollment vans,High adult correction load + volatility indicates migrant churn.
Maharashtra,Ahmadnagar,Migration Impact Zone,Moderate Stress,Increase biometric operators,Biometric heavy load requires specialized operators.
Maharashtra,Ahmed Nagar,Migration Impact Zone,Stable,Increase biometric operators,Biometric heavy load requires specialized operators.
Maharashtra,Akola,Migration Impact Zone,Stable,Increase biometric operators,Biometric heavy load requires specialized operators.
Maharashtra,Amravati,Migration Impact Zone,Stable,Increase biometric operators,Biometric heavy load requires specialized operators.
Maharashtra,Aurangabad,Migration Impact Zone,Moderate Stress,Increase biometric operators,Biometric heavy load requires specialized operators.
Maharashtra,Beed,Migration Impact Zone,Stable,Increase biometric operators,Biometric heavy load requires specialized operators.
